Title,Description,Genre,Processed_Description
Senren＊Banka,"Senren＊Banka is a Japanese-style visual novel produced by Yuzusoft, a Japanese developer of romance VNs. This game commemorated Yuzusoft's 10th anniversary. It won numerous awards on the year of its release in Japan for its art, music, and characters.","['Adventure', 'Casual']",senren＊banka japanese-style visual novel produced yuzusoft japanese developer romance vns game commemorated yuzusoft 's 10th anniversary numerous award year release japan art music character
A Short Hike,"Hike, climb, and soar through the peaceful mountainside landscapes of Hawk Peak Provincial Park as you make your way to the summit.","['Adventure', 'Indie']",hike climb soar peaceful mountainside landscape hawk peak provincial park make way summit
CULTIC,"Death is only the beginning. Crawl from your grave and gear up to fight your way through the ranks of a mysterious and twisted cult. You, your guns, and your dynamite will have to shoot, slide, blast, duck, dodge, and maybe throw a gib or two to survive in this old-school-inspired shooter.","['Action', 'Indie']",death beginning crawl grave gear fight way rank mysterious twisted cult gun dynamite shoot slide blast duck dodge maybe throw gib two survive old-school-inspired shooter
Project Kat - Paper Lily Prologue,"Project Kat is a short, unconventional RPG horror game in which there is always another way. Solve puzzles, make friends (or not), and guide Kat as she attempts to uncover the mystery behind a strange golden letter.","['Adventure', 'Free to Play', 'Indie', 'RPG']",project kat short unconventional rpg horror game always another way solve puzzle make friend guide kat attempt uncover mystery behind strange golden letter
Papa's Freezeria Deluxe,"Return to Calypso Island to serve seasonal sundae treats in Papa's Freezeria Deluxe! Craft sundaes for all your quirky customers while earning tips, points and Special Recipes. Switch gears and take a trip in the Food Truck to concoct your own chilly creations and see who shows up!","['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",return calypso island serve seasonal sundae treat papa 's freezeria deluxe craft sundae quirky customer earning tip point special recipe switch gear take trip food truck concoct chilly creation see show
TOEM,"Set off on a delightful expedition and use your photographic eye to uncover the mysteries of the magical TOEM in this hand-drawn adventure game. Chat with quirky characters, solve their problems by snapping neat photos, and make your way through a relaxing landscape!","['Adventure', 'Casual', 'Indie']",set delightful expedition use photographic eye uncover mystery magical toem hand-drawn adventure game chat quirky character solve problem snapping neat photo make way relaxing landscape
Ib,"A 2D exploration adventure game set in a creepy, mysterious art gallery.","['Adventure', 'Indie']",2d exploration adventure game set creepy mysterious art gallery
Patrick's Parabox,A mind-bending recursive puzzle game about boxes within boxes within boxes within boxes. Learn to use infinity to your advantage as you explore a deep and elegant system.,"['Casual', 'Indie', 'Strategy']",mind-bending recursive puzzle game box within box within box within box learn use infinity advantage explore deep elegant system
Lil Gator Game,"Embark on an adorable adventure, discover new friends and uncover everything the island has to offer. Climb, Swim, Glide and slide your way into the hearts of the many different characters you meet on your travels!","['Action', 'Adventure', 'Casual', 'Indie']",embark adorable adventure discover new friend uncover everything island offer climb swim glide slide way heart many different character meet travel
Monster Prom 3: Monster Roadtrip,"Embark on a road trip like no other in this co-op narrative survival adventure. Visit fun locations, meet wacky characters, and manage your resources wisely. And yes: you still can date some hot monsters ;)","['Casual', 'Indie', 'Simulation', 'Strategy']",embark road trip like co-op narrative survival adventure visit fun location meet wacky character manage resource wisely yes still date hot monster
A Castle Full of Cats,A Castle Full of Cats is a catvania hidden object game where you need to find all the cursed cats in the castle. Save each and every cat and unleash the power of love! ♡,"['Adventure', 'Casual']",castle full cat catvania hidden object game need find cursed cat castle save every cat unleash power love ♡
Handshakes,"Take your brain for a walk in Handshakes, a simple yet tricksy sokoban puzzle game. Guide two hands through puzzles designed to stump, not frustate, so that they may achieve their dream of a warm, firm handshake.","['Casual', 'Free to Play']",take brain walk handshake simple yet tricksy sokoban puzzle game guide two hand puzzle designed stump frustate may achieve dream warm firm handshake
