Title,Description,Genre
Tentacle Prawn: (Actually) A Cthulhu Dating Sim,"It's got action! It's got romance! In this RPG-Dating Sim, gather your party and try to settle a centuries-old dispute among your monster and human classmates! The fate of Winter Prom is at stake!","['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']"
TOP DOG,💥 Dogfight your way through endless waves of enemies ⬆️ Rank-up and upgrade your aircraft mid-flight 🏆 Compete on the daily leaderboards 🕹️ Easy to pickup 🎲 Short and randomized runs 💻 Minimum requirements,"['Action', 'Simulation', 'Early Access']"
Fairy Fencer F: Refrain Chord,Help Fang and the gang harness the power of song in this comedic tactical RPG romp.,"['RPG', 'Strategy']"
Strategic Mind: Spirit of Liberty - Prologue 1939,"Strategic Mind: Spirit of Liberty is a history-driven turn-based strategy set in WW2. Lead the scarce Finnish forces through the Winter War, Continuation War, and Lapland War. Save your country’s very existence from the Red Menace. Niet Molotoff!","['Free to Play', 'Simulation', 'Strategy']"
3D PUZZLE - LAST OF CITY,"Collect a 3D puzzle, transferring things to the right places to create a beautiful house.","['Action', 'Adventure', 'Casual', 'Indie', 'Racing', 'RPG', 'Simulation', 'Sports', 'Strategy']"
Raventure,"In Raventure, you play as a brave warrior on a perilous journey across a scorching desert.",['Adventure']
CONVERGENCE: A League of Legends Story™,"Traverse the sprawling city of Zaun as Ekko, a young inventor with a device to manipulate time, in this story-driven action platformer. Collect parts, craft gadgets, and unlock abilities—then rewind time to adapt your approach to every new challenge.","['Action', 'Adventure']"
"Warhammer 40,000: Boltgun","Load up your Boltgun and unleash the awesome Space Marine arsenal to blast your way through an explosion of sprites, pixels and blood in a perfect blend of Warhammer 40,000, frenetic gameplay and the stylish visuals of 90’s retro shooters.","['Action', 'Indie']"
Magic: The Gathering Arena,"Magic: The Gathering Arena empowers you to discover your strategy, meet the planeswalkers, explore the multiverse, and battle friends around the world. Start playing for free, challenge your friends, unlock cards, and feel the magic of the original fantasy CCG!","['Free to Play', 'Strategy']"
Spherum Volumetric Player,"Spherum Volumetric Player metaverse! A whole VR-city, Volumetric avatars, free movement, interactive live objects,  and more. Spherum Volumetric Player metaverse enable users to curate, discover, and explore meaningful interactions on the metaverse in a way that was not possible before metaverse!",['Free to Play']
Mystery Case Files: Incident at Pendle Tower,"Pendle Tower was once a lavish high-rise hotel, but a new renovation has awakened a long-dormant secret within its foreboding halls.","['Adventure', 'Casual']"
3D PUZZLE - PORT,"Collect a 3D puzzle, transferring things to the right places to create a beautiful house.","['Action', 'Adventure', 'Casual', 'Indie', 'Racing', 'RPG', 'Simulation', 'Sports', 'Strategy']"
Turbo Shell,"Turbo Shell is a fast-paced precision platformer where, instead of running and jumping, you push and pull yourself to get ahead at high-speed. The more skilfully you master this unique mechanic, the quicker you’ll conquer ever more challenging levels - and reach your goal in record time.","['Action', 'Indie']"
After Us,Explore the corners of a surrealistic post-human world to give life on Earth a second chance in this touching story about sacrifice and hope.,['Adventure']
Blooming Business: Casino,"Blooming Business: Casino is a business tycoon sim with a narrative twist. Build and run your own fantasy casino in a bustling world full of animals, drama and danger.","['Indie', 'Simulation', 'Strategy']"
Planet of Lana,A young girl and her loyal friend embark on a rescue mission through a colorful world full of cold machines and unfamiliar creatures. Planet of Lana is a cinematic puzzle adventure framed by an epic sci-fi saga that stretches across centuries and galaxies.,"['Action', 'Adventure', 'Indie']"
Miasma Chronicles,From the creators of Mutant Year Zero: Road to Eden comes a beautifully crafted tactical adventure you won’t forget. Embark on a quest across a post-apocalyptic wasteland torn apart by a savage force known only as the ‘Miasma’.,"['Action', 'Strategy']"
Runner Roy,Runner Roy is a sidescroller platformer where you have to count both on your skills and luck to overcome (and survive!) as many machines and obstacles along the way as you can.,"['Action', 'Casual', 'Indie']"
Trials of Kokoro,"In this Visual Novel RPG, you will customize a group of heroes' equipment and skills before leading them into strategic battles. An emotional storyline merges with exciting, turn-based combat and party management in this epic adventure across the continent of Vitaria.","['Adventure', 'RPG', 'Strategy']"
Pixel Starships,"Pixel Starships is the world’s first total spaceship management game in an 8bit massive online universe. In Pixel Starships, you command every aspect of your ship from construction to battles in a single persistent world. PSS is Community driven and crowdfunded.","['Casual', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy']"
